"price.close","ticker","date"
6,"MMM",1
0,"MMM",2
38,"MMM",3
44,"MMM",4
45,"MMM",5
95,"MMM",6
121,"MMM",7
87,"MMM",8
131,"MMM",9
143,"MMM",10
160,"MMM",11
186,"MMM",12
222,"MMM",13
254,"MMM",14
263,"MMM",15
273,"MMM",16
323,"MMM",17
326,"MMM",18
390,"MMM",19
334,"MMM",20
321,"MMM",21
376,"MMM",22
333,"MMM",23
372,"MMM",24
438,"MMM",25
412,"MMM",26
436,"MMM",27
434,"MMM",28
480,"MMM",29
447,"MMM",30
443,"MMM",31
467,"MMM",32
519,"MMM",33
463,"MMM",34
439,"MMM",35
484,"MMM",36
386,"MMM",37
417,"MMM",38
486,"MMM",39
509,"MMM",40
497,"MMM",41
470,"MMM",42
534,"MMM",43
545,"MMM",44
539,"MMM",45
603,"MMM",46
608,"MMM",47
571,"MMM",48
569,"MMM",49
620,"MMM",50
640,"MMM",51
586,"MMM",52
574,"MMM",53
600,"MMM",54
561,"MMM",55
642,"MMM",56
573,"MMM",57
622,"MMM",58
580,"MMM",59
636,"MMM",60
600,"MMM",61
647,"MMM",62
601,"MMM",63
609,"MMM",64
607,"MMM",65
605,"MMM",66
616,"MMM",67
711,"MMM",68
742,"MMM",69
710,"MMM",70
606,"MMM",71
627,"MMM",72
590,"MMM",73
563,"MMM",74
603,"MMM",75
608,"MMM",76
695,"MMM",77
721,"MMM",78
557,"MMM",79
498,"MMM",80
500,"MMM",81
548,"MMM",82
539,"MMM",83
621,"MMM",84
719,"MMM",85
719,"MMM",86
728,"MMM",87
739,"MMM",88
833,"MMM",89
863,"MMM",90
865,"MMM",91
869,"MMM",92
919,"MMM",93
896,"MMM",94
913,"MMM",95
931,"MMM",96
947,"MMM",97
880,"MMM",98
860,"MMM",99
852,"MMM",100
924,"MMM",101
899,"MMM",102
915,"MMM",103
852,"MMM",104
871,"MMM",105
838,"MMM",106
760,"MMM",107
765,"MMM",108
898,"MMM",109
881,"MMM",110
849,"MMM",111
784,"MMM",112
903,"MMM",113
893,"MMM",114
942,"MMM",115
1000,"MMM",116
923,"MMM",117
771,"MMM",118
815,"MMM",119
701,"MMM",120
741,"MMM",121
820,"MMM",122
850,"MMM",123
802,"MMM",124
0,"ABT",1
187,"ABT",2
156,"ABT",3
198,"ABT",4
199,"ABT",5
233,"ABT",6
276,"ABT",7
202,"ABT",8
201,"ABT",9
149,"ABT",10
99,"ABT",11
112,"ABT",12
105,"ABT",13
130,"ABT",14
116,"ABT",15
115,"ABT",16
113,"ABT",17
145,"ABT",18
196,"ABT",19
179,"ABT",20
281,"ABT",21
279,"ABT",22
222,"ABT",23
274,"ABT",24
314,"ABT",25
359,"ABT",26
362,"ABT",27
339,"ABT",28
345,"ABT",29
370,"ABT",30
407,"ABT",31
465,"ABT",32
425,"ABT",33
379,"ABT",34
339,"ABT",35
384,"ABT",36
341,"ABT",37
308,"ABT",38
339,"ABT",39
267,"ABT",40
238,"ABT",41
347,"ABT",42
402,"ABT",43
341,"ABT",44
365,"ABT",45
403,"ABT",46
442,"ABT",47
450,"ABT",48
454,"ABT",49
474,"ABT",50
321,"ABT",51
216,"ABT",52
228,"ABT",53
270,"ABT",54
219,"ABT",55
251,"ABT",56
268,"ABT",57
353,"ABT",58
393,"ABT",59
502,"ABT",60
500,"ABT",61
625,"ABT",62
655,"ABT",63
706,"ABT",64
654,"ABT",65
691,"ABT",66
708,"ABT",67
775,"ABT",68
801,"ABT",69
780,"ABT",70
626,"ABT",71
668,"ABT",72
803,"ABT",73
741,"ABT",74
791,"ABT",75
743,"ABT",76
792,"ABT",77
686,"ABT",78
682,"ABT",79
677,"ABT",80
718,"ABT",81
748,"ABT",82
743,"ABT",83
769,"ABT",84
729,"ABT",85
583,"ABT",86
615,"ABT",87
651,"ABT",88
634,"ABT",89
632,"ABT",90
660,"ABT",91
768,"ABT",92
861,"ABT",93
734,"ABT",94
697,"ABT",95
884,"ABT",96
870,"ABT",97
870,"ABT",98
834,"ABT",99
877,"ABT",100
1000,"ABT",101
870,"ABT",102
864,"ABT",103
709,"ABT",104
784,"ABT",105
729,"ABT",106
652,"ABT",107
705,"ABT",108
838,"ABT",109
835,"ABT",110
734,"ABT",111
674,"ABT",112
714,"ABT",113
731,"ABT",114
743,"ABT",115
838,"ABT",116
639,"ABT",117
479,"ABT",118
542,"ABT",119
448,"ABT",120
470,"ABT",121
545,"ABT",122
508,"ABT",123
434,"ABT",124
104,"ABBV",1
83,"ABBV",2
50,"ABBV",3
55,"ABBV",4
0,"ABBV",5
14,"ABBV",6
21,"ABBV",7
10,"ABBV",8
28,"ABBV",9
66,"ABBV",10
135,"ABBV",11
201,"ABBV",12
268,"ABBV",13
201,"ABBV",14
303,"ABBV",15
278,"ABBV",16
289,"ABBV",17
236,"ABBV",18
267,"ABBV",19
239,"ABBV",20
221,"ABBV",21
257,"ABBV",22
265,"ABBV",23
259,"ABBV",24
254,"ABBV",25
201,"ABBV",26
188,"ABBV",27
158,"ABBV",28
127,"ABBV",29
115,"ABBV",30
212,"ABBV",31
287,"ABBV",32
332,"ABBV",33
364,"ABBV",34
376,"ABBV",35
352,"ABBV",36
271,"ABBV",37
251,"ABBV",38
224,"ABBV",39
238,"ABBV",40
304,"ABBV",41
336,"ABBV",42
282,"ABBV",43
299,"ABBV",44
280,"ABBV",45
269,"ABBV",46
294,"ABBV",47
257,"ABBV",48
257,"ABBV",49
286,"ABBV",50
355,"ABBV",51
330,"ABBV",52
345,"ABBV",53
397,"ABBV",54
355,"ABBV",55
390,"ABBV",56
416,"ABBV",57
482,"ABBV",58
478,"ABBV",59
525,"ABBV",60
550,"ABBV",61
520,"ABBV",62
509,"ABBV",63
586,"ABBV",64
564,"ABBV",65
598,"ABBV",66
656,"ABBV",67
736,"ABBV",68
705,"ABBV",69
696,"ABBV",70
574,"ABBV",71
649,"ABBV",72
633,"ABBV",73
639,"ABBV",74
644,"ABBV",75
779,"ABBV",76
849,"ABBV",77
788,"ABBV",78
782,"ABBV",79
901,"ABBV",80
855,"ABBV",81
916,"ABBV",82
879,"ABBV",83
763,"ABBV",84
815,"ABBV",85
808,"ABBV",86
832,"ABBV",87
726,"ABBV",88
782,"ABBV",89
839,"ABBV",90
804,"ABBV",91
864,"ABBV",92
915,"ABBV",93
928,"ABBV",94
1000,"ABBV",95
932,"ABBV",96
953,"ABBV",97
969,"ABBV",98
956,"ABBV",99
871,"ABBV",100
867,"ABBV",101
755,"ABBV",102
805,"ABBV",103
667,"ABBV",104
716,"ABBV",105
736,"ABBV",106
693,"ABBV",107
727,"ABBV",108
764,"ABBV",109
758,"ABBV",110
734,"ABBV",111
673,"ABBV",112
701,"ABBV",113
705,"ABBV",114
690,"ABBV",115
730,"ABBV",116
693,"ABBV",117
546,"ABBV",118
661,"ABBV",119
607,"ABBV",120
662,"ABBV",121
718,"ABBV",122
699,"ABBV",123
566,"ABBV",124
135,"ABMD",1
114,"ABMD",2
110,"ABMD",3
96,"ABMD",4
92,"ABMD",5
59,"ABMD",6
56,"ABMD",7
7,"ABMD",8
13,"ABMD",9
0,"ABMD",10
24,"ABMD",11
60,"ABMD",12
26,"ABMD",13
32,"ABMD",14
43,"ABMD",15
79,"ABMD",16
90,"ABMD",17
127,"ABMD",18
145,"ABMD",19
113,"ABMD",20
158,"ABMD",21
160,"ABMD",22
156,"ABMD",23
199,"ABMD",24
122,"ABMD",25
144,"ABMD",26
141,"ABMD",27
163,"ABMD",28
166,"ABMD",29
226,"ABMD",30
226,"ABMD",31
221,"ABMD",32
197,"ABMD",33
173,"ABMD",34
193,"ABMD",35
227,"ABMD",36
257,"ABMD",37
258,"ABMD",38
373,"ABMD",39
344,"ABMD",40
340,"ABMD",41
329,"ABMD",42
375,"ABMD",43
353,"ABMD",44
407,"ABMD",45
424,"ABMD",46
472,"ABMD",47
484,"ABMD",48
464,"ABMD",49
522,"ABMD",50
474,"ABMD",51
481,"ABMD",52
482,"ABMD",53
467,"ABMD",54
467,"ABMD",55
484,"ABMD",56
514,"ABMD",57
549,"ABMD",58
590,"ABMD",59
579,"ABMD",60
